Date,Station Name,Livestock Count,Feed Cost,Milk Production (L),Revenue,Expenses,Region
20-02-2024,Delta Farm,128,4144,5902,15226,6777,East
31/01/2024,Omega Farm,171,3141,4246,17000,7878,West
24-02-2024,Alpha Farm,151,2809,4605,11892,7335,West
23/01/2024,Alpha Farm,177,4070,,17945,7892,South
18-01-2024,Beta Farm,193,3182,4644,15766,6722,North
23/02/2024,Beta Farm,190,4090,5819,13803,8583,West
12-01-2024,Alpha Farm,146,3984,5049,14008,8693,North
25/01/2024,Alpha Farm,144,3349,5495,17468,7687,East
23-01-2024,Omega Farm,178,3019,4049,16979,9237,West
01/02/2024,Alpha Farm,165,3533,4203,11979,6507,East
10-01-2024,Delta Farm,129,2907,5513,14530,7526,West
31/01/2024,Omega Farm,169,4033,4720,14830,9083,West
13-02-2024,Beta Farm,198,3058,5320,16596,8255,West
08/02/2024,Gamma Farm,183,3448,5640,15368,7509,West
09-02-2024,Alpha Farm,121,3217,5238,14802,9807,North
27/02/2024,Gamma Farm,195,3992,4546,17168,7329,South
26-02-2024,Alpha Farm,,3509,4955,16871,9046,South
05/02/2024,Alpha Farm,163,3313,4487,17823,7551,East
10-01-2024,Omega Farm,126,2973,5876,15142,9802,North
31/01/2024,Omega Farm,169,3565,4657,16513,7872,South
11-02-2024,Gamma Farm,193,3438,5877,15166,8693,West
09/02/2024,Delta Farm,155,4181,5115,15329,8211,North
02-02-2024,Delta Farm,188,4187,4637,13705,6812,West
31/01/2024,Delta Farm,199,3632,4368,17922,8979,South
26-02-2024,Gamma Farm,183,2919,4872,12616,8502,South
15/01/2024,Beta Farm,133,3623,5328,13878,7861,North
15-02-2024,Gamma Farm,156,2938,5714,13837,8324,North
31/01/2024,Alpha Farm,161,3000,5134,13602,8531,East
13-01-2024,Omega Farm,130,4135,4886,14457,6821,West
08/02/2024,Beta Farm,,2947,4145,14975,9362,North
27-02-2024,Omega Farm,138,3766,4400,12243,8898,West
01/01/2024,Gamma Farm,172,3874,5918,11093,7687,South
24-02-2024,Gamma Farm,198,,5937,17240,7969,North
14/01/2024,Delta Farm,148,3342,5366,12550,8194,North
16-01-2024,Omega Farm,157,3045,5980,15319,7904,North
16/02/2024,Delta Farm,163,2942,5483,11135,7276,East
06-01-2024,Alpha Farm,155,4151,5142,11803,9848,East
23/01/2024,Gamma Farm,137,3416,4824,14552,6728,East
18-02-2024,Delta Farm,146,3843,5553,11898,7346,South
09/01/2024,Alpha Farm,185,3846,4213,11105,8947,West
02-02-2024,Delta Farm,185,2938,,14412,9128,South
15/01/2024,Omega Farm,188,3938,4118,13009,9111,South
08-01-2024,Beta Farm,140,4163,4058,11053,7191,West
06/01/2024,Alpha Farm,124,3750,4905,12573,7547,East
01-02-2024,Delta Farm,120,2822,5411,13246,9610,North
17/01/2024,Delta Farm,188,3343,5459,15241,6830,East
05-02-2024,Omega Farm,194,4141,5991,17504,7294,West
13/02/2024,Beta Farm,169,2884,5749,15222,8847,West
10-02-2024,Beta Farm,,4195,5942,16496,6822,South
26/02/2024,Delta Farm,145,3999,4424,17087,6679,North
10-02-2024,Omega Farm,159,3936,4657,16562,8244,East
29/02/2024,Delta Farm,121,4052,4843,17558,7188,South
09-02-2024,Omega Farm,167,3485,5673,17915,8656,South
16/02/2024,Beta Farm,134,,5483,17584,9842,North
31-01-2024,Beta Farm,182,3276,4398,12120,8653,North
19/02/2024,Delta Farm,176,3778,5872,14488,9096,North
03-01-2024,Gamma Farm,196,2823,5360,17437,6665,East
11/02/2024,Gamma Farm,136,3073,5750,15299,8654,West
06-02-2024,Omega Farm,177,2917,4096,17029,8806,East
11/01/2024,Alpha Farm,,3987,4976,16696,7513,South
19-01-2024,Gamma Farm,191,2988,4565,16065,6584,East
21/02/2024,Alpha Farm,167,3555,4940,17951,9040,South
10-01-2024,Alpha Farm,151,3502,5268,14536,9348,South
06/02/2024,Alpha Farm,199,3008,4298,16712,7398,North
07-01-2024,Beta Farm,158,3758,4648,15943,6759,North
26/02/2024,Omega Farm,167,3593,5786,15272,9627,East
20-02-2024,Omega Farm,173,4110,5623,14954,8656,South
23/01/2024,Delta Farm,140,2872,4000,13114,9974,South
08-01-2024,Beta Farm,127,3588,4723,11911,7629,East
09/01/2024,Alpha Farm,129,3007,4871,11381,8495,East
14-01-2024,Beta Farm,142,3443,,16565,9333,South
09/02/2024,Omega Farm,171,2869,5720,11753,7218,East
27-01-2024,Gamma Farm,194,3211,5782,12451,8010,West
26/01/2024,Beta Farm,165,3400,4681,11030,9290,South
16-02-2024,Beta Farm,126,4122,5210,15105,8830,North
28/01/2024,Beta Farm,169,3009,4188,11675,6853,North
25-01-2024,Beta Farm,142,3898,4174,12317,8463,East
05/01/2024,Alpha Farm,,3232,5994,13707,8747,North
01-01-2024,Delta Farm,163,3038,,17146,9626,South
03/02/2024,Beta Farm,136,4062,4546,13278,7340,West
29-01-2024,Omega Farm,193,2814,4632,13275,9620,South
30/01/2024,Delta Farm,172,3636,4142,15793,9677,South
06-01-2024,Gamma Farm,137,4032,5332,17275,6908,South
28/01/2024,Omega Farm,146,4145,4033,16702,9319,West
05-01-2024,Omega Farm,162,2849,4418,15704,6637,South
11/02/2024,Delta Farm,127,3932,4441,17855,8072,East
22-02-2024,Omega Farm,163,3956,4179,13792,9140,West
22/01/2024,Omega Farm,141,4124,5634,17031,7627,East
24-01-2024,Omega Farm,181,3334,5630,17154,7394,East
13/01/2024,Delta Farm,129,3502,4031,15443,8766,West
23-02-2024,Delta Farm,149,3327,4935,17798,7060,North
10/01/2024,Alpha Farm,158,2995,4628,11361,7786,South
02-02-2024,Gamma Farm,122,2830,5141,11494,8830,West
26/02/2024,Beta Farm,166,3832,5480,14291,8187,East
25-01-2024,Delta Farm,122,3566,4683,13156,8215,East
29/01/2024,Gamma Farm,198,3645,5133,12880,7189,East
31-01-2024,Beta Farm,121,3372,4256,12065,9717,West
27/02/2024,Beta Farm,183,3135,5429,11597,7727,North
15-02-2024,Gamma Farm,132,3665,5418,13287,9275,South
11/02/2024,Omega Farm,128,2855,4194,15970,6544,West
23-01-2024,Gamma Farm,156,3815,4109,14025,7647,East
05/02/2024,Omega Farm,149,2894,5020,14783,6615,South
21-02-2024,Alpha Farm,152,3134,,15351,9130,East
15/01/2024,Beta Farm,150,3889,4673,15913,7720,West
03-01-2024,Delta Farm,140,2939,4720,16873,7102,West
28/01/2024,Beta Farm,126,3132,5018,16359,7798,East
21-02-2024,Omega Farm,142,,4881,12840,7226,East
12/01/2024,Alpha Farm,187,3275,5367,17921,8478,East
07-02-2024,Omega Farm,188,3452,4614,14860,7254,West
14/01/2024,Omega Farm,146,4130,5243,15336,7924,North
17-02-2024,Delta Farm,121,3750,4166,14512,9894,East
10/02/2024,Beta Farm,,4050,4579,14869,7216,South
29-02-2024,Omega Farm,138,4123,5325,16963,9381,North
10/01/2024,Beta Farm,143,2928,5445,15355,7495,West
19-02-2024,Gamma Farm,,,5864,15372,6644,South
04/02/2024,Gamma Farm,164,3588,4011,14274,9691,South
17-02-2024,Delta Farm,122,4111,5679,12721,8432,South
08/01/2024,Beta Farm,150,4056,5905,14417,9190,South
30-01-2024,Beta Farm,170,3981,5098,17153,8934,East
12/01/2024,Delta Farm,194,2887,4598,11041,9366,East
23-02-2024,Beta Farm,181,3368,4984,11149,8927,North
12/01/2024,Omega Farm,139,2809,4838,14662,6943,North
19-02-2024,Omega Farm,172,3516,4820,13912,7118,West
14/02/2024,Alpha Farm,200,3937,4786,13639,8452,South
07-02-2024,Gamma Farm,165,4010,4998,16029,7782,South
02/02/2024,Delta Farm,141,3564,5250,17256,8983,South
22-01-2024,Beta Farm,195,3279,4246,12019,7474,South
29/02/2024,Beta Farm,199,3048,5509,13744,6528,West
07-01-2024,Alpha Farm,166,3654,5299,13751,8821,North
27/02/2024,Delta Farm,156,3777,4074,11692,8053,West
14-01-2024,Beta Farm,155,3405,4715,12451,7384,South
16/02/2024,Delta Farm,175,2849,4431,11853,6985,West
15-01-2024,Delta Farm,176,2813,5711,12874,9624,West
12/01/2024,Omega Farm,127,3516,4759,17832,9089,North
02-01-2024,Gamma Farm,173,3881,5686,16803,9645,South
19/01/2024,Gamma Farm,170,3301,5540,13312,7317,North
13-02-2024,Delta Farm,147,3870,4452,12536,8863,East
07/01/2024,Alpha Farm,126,3570,4209,15210,9382,East
12-01-2024,Beta Farm,130,2886,5325,12790,7233,South
21/02/2024,Omega Farm,185,2867,4575,17867,7405,North
28-01-2024,Omega Farm,123,3354,5933,12394,7694,North
04/01/2024,Gamma Farm,126,3508,4345,17479,7742,South
11-02-2024,Beta Farm,165,3500,5793,12320,8438,South
19/02/2024,Alpha Farm,126,3630,5635,17654,6790,West
28-01-2024,Gamma Farm,160,3993,4044,11464,8558,South
03/01/2024,Beta Farm,133,2932,4118,13571,7219,North
02-01-2024,Beta Farm,133,3013,5922,17315,8532,West
18/02/2024,Beta Farm,177,2907,5823,13225,8435,West
31-01-2024,Beta Farm,170,3441,5011,13340,7234,West
27/01/2024,Omega Farm,181,3937,4143,13241,7006,East
14-02-2024,Gamma Farm,174,3711,4007,14555,9187,West
24/01/2024,Delta Farm,149,2923,5765,17650,7253,West
11-02-2024,Alpha Farm,130,4142,4974,14095,9226,South
20/02/2024,Beta Farm,171,2801,4472,16725,8582,West
08-01-2024,Delta Farm,195,3978,5069,16751,9485,West
22/01/2024,Omega Farm,148,2833,4614,12313,9706,North
01-01-2024,Omega Farm,168,3168,4868,16278,9442,South
06/01/2024,Omega Farm,131,3045,4930,12434,7184,East
20-01-2024,Beta Farm,196,,4015,12041,9889,West
20/02/2024,Delta Farm,161,4139,4607,15382,7236,East
24-01-2024,Alpha Farm,128,3624,5006,16171,8169,South
07/01/2024,Gamma Farm,153,2883,5065,14663,9991,East
20-02-2024,Omega Farm,169,3583,4236,12089,7793,East
04/01/2024,Gamma Farm,190,3684,4015,15000,7676,West
20-02-2024,Gamma Farm,180,3269,5047,14691,7553,East
04/02/2024,Omega Farm,190,3316,5491,14077,9255,East
15-01-2024,Gamma Farm,151,,4107,14481,8327,East
11/01/2024,Alpha Farm,182,3679,5645,14769,9584,East
08-01-2024,Beta Farm,195,3001,4251,11936,9595,East
03/02/2024,Gamma Farm,174,3963,5301,14690,6680,West
08-02-2024,Alpha Farm,154,4134,,15027,8853,South
07/02/2024,Gamma Farm,137,3545,4394,12003,8380,East
06-02-2024,Beta Farm,142,3120,4062,11169,7402,South
15/01/2024,Delta Farm,182,2905,5230,13458,8848,South
16-02-2024,Gamma Farm,199,3649,4137,14562,9851,North
21/02/2024,Omega Farm,146,3609,5518,12777,9517,West
10-02-2024,Omega Farm,188,3859,5968,17837,7854,East
18/01/2024,Omega Farm,189,4166,4968,15444,9404,South
06-01-2024,Alpha Farm,,3846,4779,17332,6944,East
11/02/2024,Delta Farm,155,3979,4433,11995,8484,South
29-01-2024,Omega Farm,196,3788,5428,17286,9780,West
22/01/2024,Gamma Farm,200,3541,5370,13724,9314,South
21-02-2024,Alpha Farm,145,3271,5346,13340,8275,East
28/01/2024,Omega Farm,198,,,15889,6940,West
13-01-2024,Gamma Farm,141,3937,4172,16330,8460,West
22/02/2024,Alpha Farm,151,3652,4361,17901,9735,North
06-02-2024,Delta Farm,162,3580,5142,13643,8738,East
06/02/2024,Alpha Farm,176,3604,5081,13564,8271,North
27-02-2024,Alpha Farm,173,3295,4051,17360,9284,East
12/01/2024,Beta Farm,163,3224,4474,14063,9455,North
24-02-2024,Delta Farm,192,3329,5826,12965,7558,West
20/01/2024,Alpha Farm,190,3988,5933,15249,7021,West
03-02-2024,Gamma Farm,171,3734,4498,16961,6628,North
31/01/2024,Beta Farm,176,3266,5333,15951,7885,East
28-02-2024,Delta Farm,182,3976,4983,12886,8230,North
07/01/2024,Gamma Farm,134,3022,4602,17323,9917,North
08-02-2024,Alpha Farm,155,2920,4038,12909,9526,East
14/01/2024,Alpha Farm,186,3429,5621,12601,7648,South
07-02-2024,Omega Farm,126,2806,4538,15842,9286,West
27/02/2024,Gamma Farm,197,3388,4913,12202,7270,North
13-02-2024,Omega Farm,,4161,5954,12940,6794,South
01/02/2024,Beta Farm,184,4180,4177,13079,6758,East
15-02-2024,Delta Farm,154,3962,4354,16702,9041,East
21/01/2024,Delta Farm,129,4159,5640,16723,7396,West
15-02-2024,Beta Farm,184,,4338,15013,6522,South
16/01/2024,Alpha Farm,181,3838,4555,16906,8702,South
20-01-2024,Delta Farm,155,4049,5257,16432,7473,East
15/01/2024,Omega Farm,186,3531,5146,16152,7572,North
01-01-2024,Omega Farm,123,3758,4286,17513,7159,East
06/02/2024,Beta Farm,,3759,4482,15769,7030,South
29-01-2024,Beta Farm,121,2835,5438,13527,7284,South
27/01/2024,Gamma Farm,158,3285,5608,11086,6795,East
07-02-2024,Delta Farm,152,3417,4763,12625,9234,North
04/01/2024,Omega Farm,139,4093,4893,16841,8076,East
23-01-2024,Beta Farm,140,3415,5847,17326,9114,East
24/02/2024,Gamma Farm,181,3738,5530,16019,8540,East
28-02-2024,Delta Farm,190,,,16080,8814,South
05/02/2024,Alpha Farm,197,3391,4850,14941,7486,West
14-02-2024,Delta Farm,123,4128,4271,16477,7408,West
21/01/2024,Alpha Farm,150,3101,4838,11159,9038,North
13-01-2024,Beta Farm,141,3389,5551,13821,9288,North
30/01/2024,Beta Farm,185,4117,5244,11313,8639,North
21-02-2024,Omega Farm,131,2809,4759,11878,6614,East
12/01/2024,Alpha Farm,159,3969,4456,11687,9309,South
06-01-2024,Delta Farm,160,3596,4853,11917,7123,East
09/02/2024,Omega Farm,191,3129,5337,16664,8167,North
08-02-2024,Alpha Farm,137,3624,4641,17409,6743,East
16/01/2024,Beta Farm,178,3822,4790,14251,8722,South
15-01-2024,Beta Farm,137,,4576,13033,8478,South
22/02/2024,Alpha Farm,198,2930,5535,13522,8014,North
13-02-2024,Gamma Farm,,3413,,15399,7736,East
29/02/2024,Delta Farm,197,3255,5835,17978,9499,North
28-01-2024,Gamma Farm,121,3304,5317,12095,9917,North
27/02/2024,Alpha Farm,198,3712,4521,15800,7675,North
15-02-2024,Gamma Farm,122,4065,5720,14204,9133,South
11/01/2024,Beta Farm,152,3163,5289,14478,8249,East
28-02-2024,Gamma Farm,,3108,4604,15062,8908,South
10/02/2024,Alpha Farm,148,3628,4575,13437,9256,North
01-02-2024,Delta Farm,189,3767,5081,16398,7311,South
01/03/2024,Delta Farm,153,3519,5680,14688,8129,South
05-01-2024,Alpha Farm,122,3377,5426,13487,7416,West
12/01/2024,Beta Farm,191,3162,5970,11648,9962,North
28-02-2024,Alpha Farm,140,3968,5634,17149,9536,East
27/02/2024,Delta Farm,157,3720,5541,16511,6729,East
11-02-2024,Alpha Farm,126,2951,5100,16843,8148,North
27/01/2024,Alpha Farm,136,3340,4326,13868,9500,East
03-01-2024,Beta Farm,143,4078,5001,14885,8683,North
04/01/2024,Omega Farm,158,3823,4688,14418,9812,West
27-01-2024,Gamma Farm,164,3476,4168,13866,6932,East
05/01/2024,Beta Farm,187,3126,5196,12437,9317,North
17-01-2024,Gamma Farm,132,2907,5890,12454,9007,East
22/02/2024,Omega Farm,129,3603,,16242,7128,North
26-02-2024,Delta Farm,143,3470,4712,16576,6802,North
05/01/2024,Delta Farm,161,3459,4963,17926,9888,East
07-02-2024,Beta Farm,127,3469,4042,11871,9738,South
10/02/2024,Delta Farm,193,3512,,17138,7208,East
11-01-2024,Omega Farm,141,3428,5258,11626,7610,South
31/01/2024,Alpha Farm,,3757,4157,17629,7673,West
14-01-2024,Omega Farm,162,3471,4518,13733,9870,South
06/01/2024,Delta Farm,123,4032,5300,16951,7080,East
12-02-2024,Delta Farm,156,3455,5050,12996,6947,East
07/02/2024,Beta Farm,144,3746,4487,11324,7972,North
12-02-2024,Beta Farm,163,2835,5517,16303,8686,East
08/02/2024,Alpha Farm,161,4152,4798,14256,8434,West
19-02-2024,Beta Farm,179,3256,4175,15028,7792,South
01/01/2024,Delta Farm,175,4138,4648,15055,7303,West
24-02-2024,Omega Farm,179,3962,4842,14687,7486,North
23/02/2024,Alpha Farm,194,3737,4087,17889,6586,South
18-02-2024,Beta Farm,156,3694,4701,16191,9883,North
16/01/2024,Delta Farm,135,3208,5809,16370,9450,East
16-02-2024,Alpha Farm,124,4004,4574,15291,8602,East
24/01/2024,Delta Farm,154,3553,5877,15887,7665,West
28-01-2024,Gamma Farm,126,2860,5996,11689,7582,East
23/01/2024,Gamma Farm,194,3074,5158,15200,7743,East
20-02-2024,Beta Farm,124,3378,5997,17672,6697,East
08/02/2024,Beta Farm,199,3744,5301,17881,7923,North
13-01-2024,Delta Farm,176,2857,5856,17642,9026,West
26/01/2024,Delta Farm,123,4013,5747,15631,8832,East
26-01-2024,Omega Farm,177,3616,5802,12213,9311,East
18/02/2024,Delta Farm,198,2908,5168,15171,9741,South
21-01-2024,Gamma Farm,177,4152,5032,16466,6631,South
28/02/2024,Delta Farm,126,3530,5804,12145,7496,East
12-01-2024,Alpha Farm,182,2901,5415,13711,7322,East
18/02/2024,Omega Farm,192,3984,5553,15410,9847,North
22-01-2024,Gamma Farm,184,3371,5588,17700,6535,West
17/01/2024,Delta Farm,136,4050,5395,14196,9769,West
02-01-2024,Beta Farm,187,3068,5777,16635,8521,West
17/02/2024,Alpha Farm,170,3750,4372,14273,8649,West
23-01-2024,Delta Farm,171,2830,5183,12623,9484,East
06/01/2024,Delta Farm,191,3626,5029,13728,9438,West
01-03-2024,Omega Farm,163,3275,5641,16565,7180,East
09/01/2024,Omega Farm,140,3200,5083,15703,6825,South
05-01-2024,Delta Farm,191,3077,4972,11280,9818,West
25/02/2024,Alpha Farm,151,2835,4920,14152,9814,West
01-01-2024,Omega Farm,186,2921,5797,11796,7704,West
19/01/2024,Delta Farm,136,3297,4690,14371,9174,South
16-02-2024,Omega Farm,166,,,17531,8636,West
10/01/2024,Omega Farm,171,2854,4563,13271,8053,East
28-01-2024,Beta Farm,135,,5369,17292,8158,South
01/03/2024,Delta Farm,152,3645,5827,14605,8987,East
01-02-2024,Alpha Farm,177,3434,5844,17510,8407,North
27/02/2024,Alpha Farm,183,3113,5694,13850,7560,East
15-01-2024,Delta Farm,151,4112,5968,16455,9658,East
13/01/2024,Delta Farm,133,2935,4119,14926,7115,East
08-02-2024,Delta Farm,193,,5006,13503,9571,South
13/01/2024,Beta Farm,124,3627,4088,15185,7537,North
05-02-2024,Alpha Farm,178,3646,5721,15931,9182,West
09/02/2024,Delta Farm,195,3735,4546,17276,7328,North
27-02-2024,Delta Farm,149,,4588,14659,8469,South
27/02/2024,Delta Farm,171,2901,,11487,7810,West
01-02-2024,Delta Farm,165,3880,5247,15830,9726,South
18/02/2024,Omega Farm,136,3225,4371,15756,9202,West
19-01-2024,Delta Farm,,3707,4704,15575,6807,North
21/02/2024,Gamma Farm,200,3287,5177,15442,9811,North
13-02-2024,Omega Farm,153,3858,5087,15017,9169,East
20/02/2024,Omega Farm,154,3359,5048,15359,7163,North
04-01-2024,Omega Farm,165,4063,4722,13937,9418,South
02/01/2024,Delta Farm,137,4199,4460,17090,7547,North
02-02-2024,Gamma Farm,126,3901,5108,14406,9830,West
03/01/2024,Beta Farm,174,3513,5959,12904,6645,North
25-01-2024,Omega Farm,,3493,5823,17667,9708,North
26/02/2024,Beta Farm,172,3964,4384,14466,8960,West
09-02-2024,Beta Farm,143,3061,4520,12503,7847,West
11/02/2024,Gamma Farm,172,2954,5147,12466,9326,South
28-02-2024,Gamma Farm,137,4064,4751,17328,6877,West
14/02/2024,Delta Farm,164,4186,,14891,9734,North
01-01-2024,Delta Farm,141,3851,5674,17740,9468,East
18/02/2024,Delta Farm,152,3292,5223,16886,9446,South
30-01-2024,Delta Farm,184,3350,5014,15736,7681,East
11/01/2024,Beta Farm,188,4195,4441,11494,9591,East
31-01-2024,Beta Farm,153,3684,4674,15954,9667,South
03/01/2024,Gamma Farm,188,4138,4522,17899,8068,South
14-01-2024,Gamma Farm,158,2975,5448,11845,6762,West
25/01/2024,Gamma Farm,178,3635,5082,12324,8452,South
30-01-2024,Gamma Farm,153,3497,4524,12902,6947,West
